 2017-07-05 09:35:00,663 [P5048/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.6.3 application starting on COM05
 2017-07-05 09:35:00,680 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-07-05 09:35:00,688 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 7ms)
 2017-07-05 09:35:00,749 [P5048/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-07-05 09:35:00,751 [P5048/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-07-05 09:35:00,752 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2017-07-05 09:35:01,087 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 334ms)
 2017-07-05 09:35:01,087 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IApplicationStartupHandler
 2017-07-05 09:35:01,090 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IApplicationStartupHandler (took 2ms)
 2017-07-05 09:35:01,105 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2017-07-05 09:35:01,105 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2017-07-05 09:35:01,105 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-07-05 09:35:01,107 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter (took 1ms)
 2017-07-05 09:35:01,108 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2017-07-05 09:35:01,108 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2017-07-05 09:35:01,108 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-07-05 09:35:01,111 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IPropertyValueConverter (took 2ms)
 2017-07-05 09:35:01,124 [P5048/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
